Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.02.2022 01:00,3,4,1,3,4,3,2,1,2,4,2,2,3,3,2,2,2,2,5,3,2,1,4,2,3,2,2,2,2,0,3,5,3
01.02.2022 02:00,2,4,0,2,5,3,2,1,2,4,2,1,2,2,6,2,2,3,4,3,2,1,2,2,3,2,2,2,2,0,3,9,5
01.02.2022 03:00,1,5,1,2,2,3,2,4,2,4,2,1,3,2,9,2,3,2,3,2,1,2,2,2,2,2,2,2,2,1,3,8,7
01.02.2022 04:00,4,6,2,4,2,3,2,6,2,3,2,0,3,2,3,2,3,5,5,3,2,2,2,2,2,2,2,3,3,6,2,7,6
01.02.2022 05:00,4,6,3,6,2,4,2,7,2,3,2,2,5,2,2,2,4,8,8,4,4,3,2,2,1,2,2,7,3,8,3,7,5
01.02.2022 06:00,6,6,3,7,2,4,2,8,2,3,5,6,9,5,4,2,5,10,14,6,6,3,2,4,2,2,2,7,2,8,3,6,8
01.02.2022 07:00,4,7,3,7,3,4,2,10,3,4,7,11,13,9,6,2,6,9,15,7,7,8,6,6,4,2,2,7,2,6,3,9,13
01.02.2022 08:00,2,9,6,12,4,6,2,7,8,4,9,12,13,12,8,2,8,9,17,7,7,9,9,9,11,3,5,6,3,6,3,11,25
01.02.2022 09:00,6,9,10,16,6,8,2,11,10,6,9,13,10,13,4,5,8,8,19,5,7,10,10,15,7,6,6,15,4,5,6,13,24
01.02.2022 10:00,5,11,11,16,14,13,2,13,8,8,16,15,11,10,4,7,8,14,22,10,11,10,15,10,6,8,8,19,4,4,8,13,19
01.02.2022 11:00,6,10,9,14,16,15,4,12,9,7,20,18,14,13,16,8,8,15,17,11,12,8,18,10,12,11,17,20,6,6,6,11,15
01.02.2022 12:00,5,    # ,8,19,13,12,5,14,17,7,14,16,12,13,13,9,6,12,14,    # ,11,8,14,9,12,15,55,12,12,6,7,11,21
01.02.2022 13:00,6,    # ,6,19,14,12,5,9,16,7,14,13,9,11,10,14,6,8,11,7,11,7,16,5,11,15,50,11,13,7,8,10,24
01.02.2022 14:00,3,15,5,16,14,9,5,7,12,8,14,9,8,10,9,12,4,6,19,5,12,6,15,5,11,12,32,14,10,6,7,8,14
01.02.2022 15:00,2,13,5,13,15,9,6,8,16,6,13,8,6,8,9,12,5,6,14,4,11,7,15,4,10,12,26,15,9,5,6,7,12
01.02.2022 16:00,2,12,5,9,11,7,3,4,15,5,14,7,6,7,12,6,4,5,10,4,10,9,10,5,9,9,20,5,11,2,5,6,10
01.02.2022 17:00,1,11,4,8,6,8,6,3,12,5,7,9,6,6,4,6,4,5,7,3,7,6,8,4,8,9,16,4,7,1,4,5,7
01.02.2022 18:00,1,9,3,6,5,9,7,1,6,4,3,6,5,7,2,7,4,4,7,2,6,7,6,4,8,7,8,2,3,2,4,4,5
01.02.2022 19:00,1,8,3,5,5,7,6,0,3,3,2,5,4,5,6,6,4,3,5,1,5,7,3,5,4,7,6,2,2,0,4,4,3
01.02.2022 20:00,1,7,3,7,3,6,5,1,2,3,2,9,5,5,3,3,5,2,4,1,5,5,3,5,3,5,6,2,2,1,3,4,3
01.02.2022 21:00,1,6,3,6,4,6,4,0,2,3,2,5,5,6,2,3,6,3,5,2,6,5,3,4,4,2,7,2,2,0,3,4,2
01.02.2022 22:00,1,6,2,4,3,4,3,1,2,3,2,3,4,5,2,2,3,3,4,2,7,5,2,5,4,2,8,2,2,0,3,5,2
01.02.2022 23:00,1,6,1,2,2,4,2,2,2,2,2,3,4,3,2,2,2,2,3,1,3,4,2,8,4,2,5,2,2,0,3,6,2
01.02.2022 24:00,1,6,1,2,2,5,3,3,2,2,2,2,3,2,2,2,1,2,3,2,2,3,2,2,5,2,2,2,2,1,3,7,5
02.02.2022 01:00,2,6,2,2,2,4,5,4,2,2,2,2,4,3,2,3,1,2,4,4,2,2,3,2,2,2,4,2,2,1,3,8,7
02.02.2022 02:00,1,8,2,2,2,3,4,9,2,2,2,2,5,5,2,2,1,3,4,5,3,2,2,2,1,2,2,2,2,2,3,10,8
02.02.2022 03:00,1,8,1,2,2,3,3,9,6,2,2,4,6,6,6,2,1,3,4,3,3,3,2,3,3,2,5,7,2,2,3,11,11
02.02.2022 04:00,1,8,2,3,2,3,2,8,8,2,4,4,6,7,8,2,0,3,3,3,3,4,5,3,5,2,7,10,4,3,4,12,16
02.02.2022 05:00,2,10,4,5,2,3,2,12,6,2,8,9,9,9,10,2,0,4,4,3,4,4,6,4,5,4,7,12,5,5,3,16,15
02.02.2022 06:00,2,10,5,7,2,5,2,14,6,2,11,12,13,12,9,2,1,6,6,3,5,10,9,7,4,5,11,16,5,4,4,14,19
02.02.2022 07:00,3,11,5,7,3,5,2,13,8,3,13,14,16,15,8,2,2,4,7,5,5,10,12,10,7,8,11,13,8,6,5,14,21
02.02.2022 08:00,4,11,8,12,5,6,3,11,9,4,16,9,14,12,8,6,3,5,11,6,8,11,15,22,9,8,12,11,12,5,6,16,17
02.02.2022 09:00,5,13,10,13,7,8,3,10,8,5,14,10,16,12,8,8,4,8,26,11,12,10,16,12,9,10,12,14,12,3,4,13,19
02.02.2022 10:00,7,14,8,12,11,9,2,11,7,5,17,9,11,11,12,10,4,8,42,11,12,11,14,10,11,11,17,14,9,4,6,16,22
02.02.2022 11:00,8,14,12,17,12,11,5,11,3,7,11,13,14,13,11,11,7,10,31,13,13,11,12,11,9,10,17,10,10,4,7,11,20
02.02.2022 12:00,7,11,12,17,14,12,6,9,3,7,5,11,10,7,8,10,7,10,29,14,14,10,11,9,10,10,11,5,7,5,    # ,    # ,9
02.02.2022 13:00,7,9,11,16,14,14,8,8,7,5,3,11,8,6,9,7,6,11,25,15,14,16,2,11,8,7,4,6,10,5,6,10,9
02.02.2022 14:00,9,9,11,19,15,11,8,8,12,6,5,8,7,7,11,7,8,11,31,12,18,11,2,10,5,7,7,7,5,6,7,8,14
02.02.2022 15:00,10,8,11,24,12,15,6,    # ,15,5,12,9,7,6,13,2,6,10,26,12,17,10,5,14,4,12,10,5,6,7,7,8,19
02.02.2022 16:00,10,9,10,30,12,13,7,7,14,5,13,10,7,7,11,6,5,10,20,10,23,8,8,14,5,9,12,3,11,7,6,10,17
02.02.2022 17:00,12,11,11,35,21,7,8,7,21,6,13,10,7,8,12,8,7,9,21,11,16,10,11,9,8,15,8,9,10,6,6,11,18
02.02.2022 18:00,10,13,13,33,25,14,6,9,21,7,13,10,8,8,9,8,9,13,19,10,19,12,11,12,10,14,12,14,14,6,6,14,28
02.02.2022 19:00,11,16,14,29,19,14,2,12,9,6,13,11,9,9,11,8,6,13,21,12,16,13,11,21,14,12,11,18,11,6,7,17,32
02.02.2022 20:00,10,14,14,29,21,12,2,13,9,7,15,16,12,9,10,9,13,13,23,14,17,11,13,25,14,16,14,15,12,6,6,18,30
02.02.2022 21:00,6,15,14,27,12,12,2,16,12,6,15,26,11,12,9,9,14,13,22,15,17,11,14,53,9,12,16,17,10,7,7,20,21
02.02.2022 22:00,5,16,11,18,9,11,2,15,13,7,19,14,12,13,12,11,15,13,20,14,13,15,16,14,10,11,19,20,6,13,9,22,28
02.02.2022 23:00,5,16,8,13,8,8,2,17,13,8,16,15,13,13,18,7,8,11,16,12,12,13,15,15,8,13,15,24,13,7,9,21,28
02.02.2022 24:00,4,16,6,10,8,7,2,22,11,9,21,17,14,13,24,5,7,10,14,10,9,9,20,11,5,13,15,19,17,8,11,20,24
03.02.2022 01:00,4,16,6,8,6,10,2,18,12,10,30,20,15,11,16,8,6,8,13,9,8,10,22,9,9,14,13,16,15,9,9,22,20
03.02.2022 02:00,4,18,5,8,5,9,2,22,18,13,20,22,17,10,19,10,5,7,12,7,7,11,23,10,11,16,14,7,11,10,8,23,32
03.02.2022 03:00,3,19,6,8,3,7,2,24,16,14,27,17,16,10,9,10,5,7,10,5,6,12,22,8,10,12,15,10,18,11,8,23,42
03.02.2022 04:00,2,21,6,9,4,8,2,24,10,11,21,15,16,9,5,12,6,6,10,6,6,12,21,9,10,15,16,13,10,11,8,23,57
03.02.2022 05:00,1,26,7,11,5,10,2,24,10,12,20,16,15,10,10,13,5,7,9,5,5,12,19,12,10,15,13,17,8,14,9,20,53
03.02.2022 06:00,0,25,8,12,8,8,2,22,12,11,17,19,15,11,9,9,4,4,9,4,3,12,18,14,11,17,16,18,14,12,10,25,18
03.02.2022 07:00,1,21,8,13,7,7,2,22,15,13,15,20,16,14,21,10,6,3,13,3,4,13,21,21,16,19,14,23,15,7,11,25,17
03.02.2022 08:00,1,17,9,14,7,7,2,25,20,13,17,20,21,17,21,11,7,2,14,3,4,15,20,21,16,17,21,16,15,5,13,19,16
03.02.2022 09:00,2,17,10,15,9,8,2,26,18,12,13,20,21,20,13,13,7,3,12,5,6,19,23,21,19,20,21,23,15,8,13,17,8
03.02.2022 10:00,1,17,11,16,12,8,2,27,24,11,14,21,18,23,20,17,4,3,14,4,7,23,21,17,23,18,18,21,19,7,10,16,9
03.02.2022 11:00,1,16,9,12,11,9,2,27,18,9,14,24,16,28,23,16,4,3,10,3,5,20,19,17,25,20,11,22,17,4,8,12,10
03.02.2022 12:00,1,13,3,5,8,7,3,31,16,6,6,22,15,23,17,13,5,2,9,3,5,10,18,14,28,18,9,17,11,3,5,8,8
03.02.2022 13:00,1,8,3,20,5,4,3,29,24,5,4,19,14,21,13,7,9,2,23,4,5,6,15,12,24,21,6,31,7,7,5,6,12
03.02.2022 14:00,1,7,4,25,6,3,2,22,16,5,5,11,10,23,9,11,9,3,19,5,6,6,7,9,23,22,4,5,10,3,4,6,17
03.02.2022 15:00,1,7,4,20,7,5,2,17,10,7,4,10,6,24,3,7,8,3,14,6,8,7,9,9,20,22,3,2,16,4,5,5,20
03.02.2022 16:00,1,7,3,17,13,6,2,11,7,10,5,11,8,26,2,6,9,4,18,9,11,8,12,10,20,20,5,2,13,6,6,5,15
03.02.2022 17:00,1,8,3,18,19,6,2,6,9,9,8,17,9,25,6,5,12,4,21,11,12,9,16,13,19,22,9,2,14,6,6,5,16
03.02.2022 18:00,1,10,6,18,24,6,2,6,13,18,10,26,14,38,9,7,22,10,33,15,14,15,#,14,18,17,10,6,18,4,7,6,14
03.02.2022 19:00,1,13,8,18,16,8,2,7,7,20,9,43,19,39,12,18,29,14,37,20,19,11,    # ,15,18,20,12,6,18,5,12,7,14
03.02.2022 20:00,1,14,13,23,22,12,2,7,10,20,12,45,24,32,16,24,27,20,42,21,17,9,33,15,21,22,21,7,13,12,12,8,13
03.02.2022 21:00,2,15,10,17,20,17,2,8,13,31,19,42,31,39,11,35,11,14,38,18,25,12,25,14,24,21,26,10,18,8,20,7,15
03.02.2022 22:00,2,12,11,19,15,9,2,8,14,30,15,46,31,37,12,28,10,14,33,14,18,14,27,19,22,23,18,9,19,7,13,7,11
03.02.2022 23:00,1,8,11,17,14,9,2,8,16,32,13,53,23,41,11,34,16,11,26,11,19,13,19,16,21,18,20,3,18,7,17,8,11
03.02.2022 24:00,1,7,10,14,18,8,2,7,13,16,9,30,18,30,10,34,20,9,27,10,15,12,9,7,22,15,19,3,17,7,14,7,10
04.02.2022 01:00,1,6,8,12,14,7,2,5,10,12,7,18,16,25,7,24,17,10,21,9,12,15,6,8,24,13,11,8,13,8,14,7,12
04.02.2022 02:00,1,7,9,15,8,9,2,4,8,10,10,16,15,26,4,21,15,8,17,7,9,15,7,10,31,13,8,4,9,6,11,9,9
04.02.2022 03:00,1,7,12,18,5,6,2,5,6,25,9,16,15,27,2,11,13,10,16,8,8,14,9,7,25,23,8,3,4,6,10,8,7
04.02.2022 04:00,4,10,13,21,6,9,2,7,6,15,10,17,15,30,6,13,8,12,15,10,9,13,12,6,26,26,9,7,6,7,10,8,10
04.02.2022 05:00,6,11,13,20,9,11,2,6,8,13,10,17,15,22,7,8,22,11,17,12,11,13,16,6,25,19,6,9,9,4,9,8,10
04.02.2022 06:00,7,10,16,26,11,14,2,6,6,10,7,18,16,18,7,10,17,12,20,13,12,14,4,6,22,19,5,10,7,2,10,7,8
04.02.2022 07:00,9,8,18,30,15,10,2,6,5,11,8,19,14,12,8,11,19,11,25,15,17,13,2,9,21,27,5,10,5,3,10,7,9
04.02.2022 08:00,13,8,17,26,19,11,2,7,10,17,11,15,10,4,8,10,21,14,32,17,25,17,8,8,24,23,5,9,5,4,15,8,10
04.02.2022 09:00,16,6,15,24,27,13,4,8,9,15,11,15,12,3,6,12,22,15,41,17,28,24,8,10,28,3,7,10,5,4,18,7,11
04.02.2022 10:00,14,5,14,24,22,13,11,5,8,15,6,19,15,4,4,12,19,15,48,16,33,24,7,11,25,2,6,9,2,8,27,8,9
04.02.2022 11:00,11,5,14,26,23,12,14,4,4,15,5,18,13,5,2,14,20,15,49,17,31,20,7,10,24,2,2,5,2,4,16,7,8
04.02.2022 12:00,11,5,10,24,22,7,13,3,3,14,2,13,11,10,2,13,19,12,43,14,27,12,3,13,19,2,3,5,2,4,19,5,10
04.02.2022 13:00,8,3,5,16,26,7,12,2,2,13,2,10,8,8,2,11,15,9,37,9,24,12,2,14,14,2,6,6,2,3,16,5,8
04.02.2022 14:00,8,3,6,20,18,6,4,2,5,12,2,10,8,4,2,14,15,9,41,9,24,12,3,16,15,2,3,5,2,8,14,4,8
04.02.2022 15:00,11,5,7,21,18,7,6,2,7,10,2,10,8,3,2,9,10,11,34,10,24,11,6,16,14,2,2,5,2,4,13,3,5
04.02.2022 16:00,12,5,5,17,17,8,7,1,6,11,4,7,4,4,2,10,12,11,35,11,28,9,7,16,13,3,5,3,2,2,14,3,5
04.02.2022 17:00,10,5,4,16,16,6,8,2,3,10,7,8,4,7,5,11,10,10,33,9,27,6,8,23,14,7,5,2,2,2,15,3,7
04.02.2022 18:00,10,5,4,13,12,5,3,2,2,13,8,8,5,9,2,10,8,12,38,14,33,6,6,30,14,11,5,2,5,4,17,3,6
