Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.05.2022 23:00,4,17,22,65,68,66,35,1,10,19,20,9,22,6,6,9,46,44,8,18,6,11,25,10,8,36,22,87,37,60,49,14,14,38,22,42,23,25,19,24,33,11,19,20,6,5,7,29,24
01.05.2022 24:00,4,16,25,58,62,63,23,1,5,16,13,6,12,8,6,9,26,44,8,14,6,10,21,8,13,38,28,77,38,52,56,14,13,22,27,31,19,30,12,20,35,9,16,15,8,4,5,22,21
02.05.2022 01:00,3,15,27,50,49,47,21,0,11,14,9,9,11,8,6,8,22,33,8,17,6,8,20,7,10,31,23,63,41,38,46,15,13,24,22,32,11,33,10,15,26,6,16,14,7,4,6,19,15
02.05.2022 02:00,2,16,28,41,52,46,28,0,13,11,9,6,10,8,7,8,24,25,6,19,7,12,21,7,9,29,26,53,46,39,30,14,14,29,20,30,9,32,12,12,24,7,18,14,7,4,6,20,11
02.05.2022 03:00,2,13,28,30,39,43,21,0,15,10,13,8,11,7,7,10,24,22,7,13,7,18,23,8,12,24,19,45,41,37,27,18,11,24,23,29,13,23,13,10,20,6,20,16,14,4,9,20,13
02.05.2022 04:00,3,13,34,28,35,40,20,0,10,12,21,6,18,6,5,11,22,19,9,12,7,10,21,11,8,21,20,43,34,36,35,17,10,25,38,37,11,19,18,11,17,7,25,12,8,4,10,17,24
02.05.2022 05:00,3,25,32,29,46,42,24,0,5,23,31,8,14,8,6,15,32,24,12,16,7,21,23,12,9,19,16,58,37,30,39,20,11,29,44,40,15,14,24,14,20,10,17,21,19,5,10,29,24
02.05.2022 06:00,4,33,31,35,42,38,21,1,7,36,42,9,18,10,6,21,41,29,20,21,15,38,24,14,10,21,14,64,35,28,37,22,8,33,43,40,16,27,28,19,26,14,18,19,38,6,11,46,55
02.05.2022 07:00,3,38,27,45,45,40,    # ,3,12,40,45,17,17,12,3,17,41,29,21,22,15,37,33,18,12,26,20,82,39,37,42,20,7,37,37,60,13,21,38,20,24,16,24,22,33,7,13,41,63
02.05.2022 08:00,3,30,36,43,49,47,29,2,8,28,39,16,20,14,4,13,35,28,18,15,16,22,30,17,17,27,26,72,35,45,37,16,9,31,44,72,19,23,44,29,26,16,16,21,24,7,17,35,53
02.05.2022 09:00,4,21,28,33,41,30,14,1,10,18,32,15,16,11,4,11,29,28,18,17,20,16,27,19,17,33,16,49,18,41,28,9,9,27,22,70,19,19,41,31,29,18,17,14,18,6,29,20,51
02.05.2022 10:00,5,19,25,16,35,16,7,2,8,14,22,12,13,11,3,9,21,20,17,9,22,16,18,12,10,21,12,33,13,37,13,8,6,15,17,66,18,12,46,24,33,15,11,11,12,5,24,18,32
02.05.2022 11:00,3,16,14,11,27,9,5,5,7,11,26,8,17,7,4,8,21,13,14,7,21,12,20,11,11,14,11,29,15,32,11,7,6,14,9,57,8,9,46,18,26,12,7,7,8,4,16,12,23
02.05.2022 12:00,3,16,8,12,24,11,5,3,6,12,22,5,13,6,4,8,14,15,9,4,15,9,11,12,9,13,8,26,10,28,9,6,4,12,8,67,10,8,48,16,21,10,8,8,8,4,14,6,23
