Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.07.2022 01:00,13,17,12,15,12,2,7,11,22,7,12,18,18,18,2,6,2,15,12,11,6,19,11,18,16,23,2,4,20,15,6,19,37
01.07.2022 02:00,5,15,5,8,11,3,6,14,16,6,27,11,18,17,2,3,2,15,15,12,4,47,10,18,14,21,15,14,13,15,6,15,22
01.07.2022 03:00,3,12,5,7,4,4,2,13,33,8,15,8,11,27,6,3,2,5,6,6,5,4,9,15,13,16,10,16,19,16,8,9,14
01.07.2022 04:00,5,13,4,6,3,3,2,12,24,10,15,5,10,28,10,4,1,3,3,4,3,2,6,14,11,14,6,11,24,15,8,6,8
01.07.2022 05:00,6,11,5,6,4,5,2,11,19,8,11,2,8,20,8,4,1,5,3,4,2,3,7,13,11,15,7,7,15,12,6,6,7
01.07.2022 06:00,7,9,5,6,5,8,3,11,15,6,12,2,7,14,4,4,1,10,3,4,3,17,7,13,10,9,13,7,13,11,3,6,5
01.07.2022 07:00,10,8,4,6,5,8,4,10,31,5,14,4,9,12,5,2,1,10,3,6,4,19,6,12,9,7,9,10,12,10,3,7,4
01.07.2022 08:00,6,8,3,6,5,2,3,8,29,4,3,3,9,23,5,2,2,12,4,6,1,2,5,12,8,8,2,5,24,9,3,6,8
01.07.2022 09:00,5,8,4,9,2,2,2,6,3,5,5,3,6,10,6,6,2,16,7,8,1,2,7,11,8,11,2,2,4,9,3,4,9
01.07.2022 10:00,3,7,3,9,3,2,2,6,2,5,7,4,9,3,8,3,2,10,6,8,1,2,3,11,8,11,2,5,2,7,4,5,14
01.07.2022 11:00,3,8,3,7,2,2,2,7,2,5,6,4,7,3,10,3,2,10,2,9,1,2,3,12,8,3,6,5,3,6,4,5,13
01.07.2022 12:00,5,7,3,8,3,2,2,7,4,6,7,4,8,7,8,3,2,10,2,7,1,7,1,12,9,2,7,6,2,7,5,5,10
01.07.2022 13:00,8,8,4,7,7,2,4,5,9,7,8,4,7,7,5,4,4,15,2,9,1,2,2,11,9,6,2,6,2,7,4,6,10
01.07.2022 14:00,7,9,3,6,6,2,2,4,2,9,8,4,6,2,3,3,7,16,3,10,1,3,3,11,9,6,8,5,2,4,3,6,12
01.07.2022 15:00,7,9,4,4,7,2,2,4,2,6,7,9,4,8,6,2,8,21,5,10,1,13,4,8,7,5,10,3,5,2,3,4,2
01.07.2022 16:00,7,10,2,2,3,2,2,3,10,6,7,9,4,11,7,1,10,22,4,8,2,4,3,9,7,8,7,2,8,2,3,4,2
01.07.2022 17:00,4,8,1,3,2,2,4,3,12,5,2,6,3,4,7,2,11,18,2,6,2,2,3,13,7,10,2,2,7,1,4,4,3
