Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.03.2022 01:00,6,25,10,15,13,14,9,6,23,13,16,7,17,8,16,7,17,14,11,29,8,9,8,15,14,14,9,17,10,13,11,8,6,18,13,26,27,7,22,43,7,13,10,11,4,14,9,11
01.03.2022 02:00,6,29,14,14,13,14,10,6,17,20,16,6,22,8,15,8,15,14,10,21,7,11,7,16,14,14,9,16,10,17,14,8,6,13,14,23,19,7,22,35,7,12,12,12,3,15,9,12
01.03.2022 03:00,6,32,11,17,13,13,10,5,11,27,14,6,22,13,9,8,13,14,11,21,7,25,9,14,16,16,8,19,12,15,14,9,6,12,12,23,20,7,26,33,9,12,9,13,3,16,11,11
01.03.2022 04:00,5,32,12,13,14,13,9,4,7,30,14,11,25,12,14,9,13,11,17,23,8,29,9,19,23,22,7,20,13,17,16,9,5,14,11,22,19,8,31,28,10,12,9,25,3,16,26,15
01.03.2022 05:00,6,35,12,17,17,16,9,4,14,36,24,12,24,10,13,13,17,10,18,35,10,32,13,19,20,24,9,22,14,20,15,13,6,25,14,30,25,11,36,45,15,23,13,32,3,21,33,21
01.03.2022 06:00,6,57,16,25,36,20,14,3,22,46,41,13,29,12,17,37,23,15,21,47,20,43,20,26,22,34,13,35,19,23,22,21,5,47,32,51,26,18,45,53,11,52,33,52,3,14,56,41
01.03.2022 07:00,7,69,19,35,45,25,25,2,21,63,54,16,42,15,25,56,28,24,18,55,21,50,17,27,22,49,14,47,24,41,20,33,6,53,41,69,40,24,56,56,15,61,34,37,3,18,55,67
01.03.2022 08:00,10,69,17,39,52,32,23,2,9,66,61,17,37,17,24,58,36,37,28,48,28,52,25,35,23,51,14,56,32,50,22,21,7,58,44,79,44,21,63,70,18,64,49,32,3,29,53,61
01.03.2022 09:00,12,54,18,28,39,27,15,7,10,64,55,13,21,22,18,36,29,27,16,41,35,55,25,33,18,33,13,56,34,41,21,17,7,47,32,63,41,12,50,58,19,45,39,18,4,18,36,64
01.03.2022 10:00,8,28,14,20,29,21,15,9,6,32,54,9,18,12,5,17,21,19,16,32,23,41,11,27,14,33,12,48,25,39,19,12,6,32,23,56,30,9,23,32,14,18,15,14,3,16,17,14
