Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.10.2022 11:00,4,9,3,6,8,2,2,11,13,6,9,16,12,7,2,6,5,20,8,5,5,    # ,12,18,20,6,10,5,8,11,8,7,3
01.10.2022 12:00,3,5,3,7,3,2,2,8,11,6,8,16,8,5,3,8,5,21,7,10,4,    # ,13,18,11,11,11,3,6,9,7,6,5
01.10.2022 13:00,3,3,3,6,2,2,2,5,8,6,4,11,5,2,6,10,3,19,6,11,4,    # ,16,8,6,12,4,2,7,8,8,6,5
01.10.2022 14:00,4,3,2,5,2,2,3,2,2,12,2,8,4,3,2,11,2,19,5,9,4,    # ,19,11,6,4,2,2,3,3,10,5,2
01.10.2022 15:00,2,3,2,5,2,2,4,1,2,7,2,6,3,2,2,11,2,15,6,8,3,    # ,17,17,7,2,2,2,2,6,10,6,5
01.10.2022 16:00,2,5,2,5,2,2,2,1,3,9,2,6,4,2,2,7,2,9,6,10,3,    # ,18,9,7,2,6,2,2,3,10,5,5
01.10.2022 17:00,2,5,2,4,2,2,2,3,3,6,2,4,4,2,2,6,2,7,6,11,3,    # ,12,8,5,2,7,2,2,1,13,5,6
01.10.2022 18:00,2,5,1,4,3,2,2,4,2,4,2,5,3,2,6,6,2,6,4,14,3,    # ,13,9,5,2,7,3,2,5,6,6,12
01.10.2022 19:00,2,4,1,4,4,2,2,3,4,3,5,4,3,4,5,8,2,6,3,11,3,    # ,11,8,5,4,9,7,2,1,5,7,15
01.10.2022 20:00,2,3,2,4,5,2,2,4,11,3,7,4,4,9,4,8,4,6,4,13,3,    # ,6,11,6,5,9,7,2,2,4,6,8
01.10.2022 21:00,2,3,2,4,7,2,2,3,9,2,6,4,3,11,5,7,7,5,4,12,3,5,13,11,8,5,8,6,4,2,3,7,12
01.10.2022 22:00,2,3,1,3,6,2,2,3,4,2,5,6,3,12,5,2,11,6,3,12,4,3,14,8,7,5,6,6,9,2,3,9,16
01.10.2022 23:00,2,3,2,3,3,2,2,2,2,3,6,5,3,14,4,1,8,5,6,13,4,2,4,6,5,3,4,8,2,1,3,10,13
01.10.2022 24:00,3,3,2,3,2,2,2,5,4,3,8,3,3,14,2,2,2,4,4,8,4,6,4,5,5,2,5,8,2,1,3,10,10
02.10.2022 01:00,4,3,2,4,2,2,2,5,4,4,10,4,4,10,5,3,3,4,6,9,3,7,4,5,5,2,4,4,2,2,4,10,16
02.10.2022 02:00,3,6,2,5,2,2,2,6,2,6,12,7,5,4,6,3,3,6,8,14,3,7,4,6,6,2,5,2,2,2,6,12,14
02.10.2022 03:00,3,7,2,5,2,2,2,7,2,7,10,10,5,7,3,3,3,6,10,11,4,9,5,6,6,2,8,2,2,2,7,13,11
02.10.2022 04:00,4,6,3,5,5,2,2,6,7,6,10,11,7,11,2,3,4,5,10,6,5,12,4,6,6,6,11,5,2,2,6,14,9
02.10.2022 05:00,3,5,4,6,5,2,2,8,13,6,11,11,8,8,3,2,3,5,10,5,5,11,4,6,6,8,11,4,3,2,6,13,13
02.10.2022 06:00,3,8,6,6,5,4,5,10,14,7,12,9,5,6,6,4,3,6,11,5,5,9,4,6,6,6,8,5,8,1,6,12,9
02.10.2022 07:00,4,8,7,6,5,6,7,11,14,7,9,10,4,7,4,3,4,6,10,7,5,9,5,7,7,4,5,7,8,2,6,12,11
02.10.2022 08:00,4,9,8,8,6,7,5,12,17,7,10,8,7,14,2,4,5,8,9,9,5,16,5,7,9,5,6,8,7,1,7,12,14
02.10.2022 09:00,4,5,9,9,8,8,3,13,6,8,8,5,7,17,5,6,3,9,9,10,7,11,6,8,8,5,10,12,6,1,6,10,12
02.10.2022 10:00,3,6,10,10,8,9,6,9,10,6,8,5,5,16,6,6,3,9,8,9,6,10,10,9,8,5,8,14,5,1,6,9,11
02.10.2022 11:00,3,5,9,7,7,7,3,6,15,10,10,7,5,11,9,6,3,11,8,8,4,14,9,9,8,7,9,4,2,1,6,9,8
02.10.2022 12:00,2,4,11,5,7,5,2,4,5,9,8,8,5,2,8,7,3,12,7,8,4,12,7,9,8,7,10,2,5,8,6,7,8
02.10.2022 13:00,2,3,6,5,3,2,2,3,2,7,6,6,3,2,5,4,3,6,8,7,4,10,6,10,9,5,9,2,8,1,5,7,6
02.10.2022 14:00,2,3,8,9,6,2,2,4,2,7,6,6,3,2,10,4,2,5,8,6,3,11,5,10,8,5,9,3,4,1,3,6,9
02.10.2022 15:00,2,3,8,9,11,6,2,3,11,4,5,6,2,3,5,3,2,10,8,9,6,6,14,9,7,6,9,2,2,1,3,4,7
02.10.2022 16:00,3,2,5,9,8,10,2,2,6,2,5,5,2,2,2,3,2,11,7,6,3,3,11,9,6,7,7,2,2,1,4,4,3
02.10.2022 17:00,4,1,5,9,5,4,2,3,2,6,4,5,2,2,2,2,2,8,8,4,3,2,23,9,6,7,6,2,2,1,4,5,6
02.10.2022 18:00,5,1,6,14,2,2,2,4,2,8,5,9,3,4,3,4,3,14,9,18,5,2,15,11,8,7,6,3,3,2,4,5,12
02.10.2022 19:00,4,2,10,14,3,2,2,6,12,6,7,10,9,12,5,6,4,12,10,18,7,3,4,10,7,7,8,6,6,3,3,6,11
02.10.2022 20:00,4,2,6,10,4,2,2,9,17,5,9,13,6,11,7,8,3,12,10,21,6,6,20,9,7,6,7,9,9,1,3,7,11
02.10.2022 21:00,3,2,5,9,4,2,2,12,16,4,5,10,6,10,8,7,3,11,9,17,8,8,10,8,6,5,6,11,5,2,3,8,12
02.10.2022 22:00,3,4,5,8,3,2,2,15,11,3,9,9,9,16,6,8,6,10,6,14,6,8,3,7,5,6,5,19,7,3,3,8,11
02.10.2022 23:00,3,8,6,7,3,2,2,10,18,3,10,6,20,9,3,3,11,7,4,16,6,9,1,7,5,6,7,12,10,3,3,9,12
02.10.2022 24:00,3,12,5,7,5,2,2,9,18,4,11,6,4,10,6,2,14,6,2,12,4,12,1,6,5,8,10,11,12,3,3,10,14
03.10.2022 01:00,5,15,6,8,2,2,2,8,10,4,7,6,6,8,8,3,12,7,3,8,5,19,2,6,5,6,8,7,5,6,4,9,14
03.10.2022 02:00,12,18,8,8,2,2,2,12,16,6,4,5,6,11,7,2,14,9,4,9,7,9,1,7,6,6,8,11,3,7,5,9,14
03.10.2022 03:00,14,21,9,8,2,3,2,12,20,7,10,5,8,14,8,2,14,11,3,9,8,14,2,8,6,9,7,11,4,6,6,10,13
03.10.2022 04:00,14,21,9,8,5,5,2,9,10,9,15,6,9,11,8,4,18,12,4,9,9,17,3,8,6,9,7,11,8,6,7,9,13
03.10.2022 05:00,12,21,9,9,6,5,2,12,4,11,15,9,15,5,7,6,23,12,4,8,8,17,4,9,7,9,12,13,8,7,7,9,11
03.10.2022 06:00,13,23,10,10,8,2,2,8,6,10,14,9,10,11,6,6,24,12,4,9,7,17,5,10,7,11,11,11,8,7,8,10,12
03.10.2022 07:00,14,24,8,9,8,4,2,9,9,11,13,10,11,14,10,9,26,12,4,9,7,18,6,10,8,12,12,8,11,7,10,9,17
03.10.2022 08:00,11,19,9,9,3,4,2,12,12,10,10,10,11,14,11,9,25,12,4,8,5,24,6,10,9,13,11,8,10,8,11,9,10
03.10.2022 09:00,9,14,9,10,3,4,2,15,11,10,10,8,9,10,8,9,25,14,4,10,6,9,5,11,10,14,15,9,6,8,11,12,10
03.10.2022 10:00,9,8,10,10,6,5,2,16,5,8,4,8,7,7,10,5,20,14,8,10,6,11,5,10,10,5,9,9,2,15,9,13,14
03.10.2022 11:00,10,4,8,11,10,8,2,14,2,7,2,8,5,2,8,5,16,15,10,12,6,6,4,8,8,2,2,9,2,10,8,11,7
03.10.2022 12:00,8,3,7,10,11,10,2,9,5,7,6,9,4,2,11,8,15,13,8,10,5,5,6,7,6,2,4,2,2,8,7,6,2
03.10.2022 13:00,9,3,7,9,11,7,3,7,5,7,13,11,3,2,5,8,22,12,9,9,6,2,7,8,6,5,11,2,9,6,6,6,2
03.10.2022 14:00,9,4,8,9,11,7,4,6,2,7,12,11,4,5,7,5,19,13,6,9,6,2,9,8,6,7,10,2,5,7,6,5,11
03.10.2022 15:00,12,5,6,7,8,11,2,5,2,7,7,10,5,6,10,4,20,13,6,10,6,2,11,7,5,8,13,6,2,7,6,6,14
03.10.2022 16:00,9,5,6,8,10,7,2,6,7,7,12,10,6,6,12,4,18,13,8,10,7,2,10,8,5,8,10,7,6,9,7,6,12
03.10.2022 17:00,13,5,7,9,14,8,2,6,13,7,9,11,7,13,12,6,15,14,8,13,8,6,9,10,8,9,14,8,13,9,7,8,17
03.10.2022 18:00,12,7,7,10,8,11,2,9,18,8,11,12,9,15,8,12,13,13,9,10,9,12,16,12,9,12,17,11,16,7,8,10,21
03.10.2022 19:00,11,11,8,14,11,14,2,11,17,12,17,12,14,15,8,21,16,16,9,13,11,16,32,14,15,17,17,13,29,7,11,11,22
03.10.2022 20:00,10,20,14,16,16,17,2,17,16,17,17,16,30,19,13,22,18,19,16,14,13,14,27,16,15,16,21,22,21,6,10,14,26
03.10.2022 21:00,9,17,27,29,23,15,5,15,35,21,22,25,28,29,15,12,18,24,18,20,15,28,12,16,16,13,22,20,16,4,10,14,18
03.10.2022 22:00,7,15,25,28,27,12,5,20,26,15,23,23,20,17,13,11,11,25,17,35,16,41,12,15,19,18,22,21,21,4,10,16,23
03.10.2022 23:00,6,14,19,26,23,18,5,15,16,13,16,23,16,11,12,12,3,25,19,29,15,30,8,14,16,17,19,17,21,4,10,17,24
03.10.2022 24:00,7,15,13,21,19,15,2,15,22,14,19,16,27,15,20,11,3,21,27,21,13,32,8,13,13,17,16,11,17,3,10,17,15
04.10.2022 01:00,7,9,11,21,14,13,2,9,24,16,10,10,10,13,12,12,3,21,25,20,10,21,7,20,13,12,14,12,10,2,9,16,24
04.10.2022 02:00,6,5,12,20,14,8,2,8,17,18,5,13,6,12,10,13,3,18,23,17,9,11,8,22,13,11,13,7,10,3,10,16,18
04.10.2022 03:00,7,6,11,19,14,10,2,5,14,22,11,15,5,12,9,12,3,16,20,16,10,15,7,11,8,8,11,6,12,4,10,15,15
04.10.2022 04:00,8,5,10,18,15,11,2,5,14,20,13,13,5,4,11,12,6,17,18,12,9,18,6,6,8,8,10,7,11,4,9,16,8
04.10.2022 05:00,7,4,10,19,13,11,2,5,11,15,9,14,4,2,9,11,6,16,12,12,7,18,5,6,6,9,13,6,7,5,10,11,10
04.10.2022 06:00,5,5,11,19,23,11,2,9,9,12,13,11,5,4,7,11,2,18,12,11,7,14,4,9,7,9,10,3,8,6,9,9,14
04.10.2022 07:00,6,10,12,17,29,9,2,9,8,14,14,12,6,6,10,22,2,22,14,11,8,19,5,12,9,9,8,3,3,7,11,9,9
04.10.2022 08:00,6,17,13,21,26,13,2,13,11,14,15,20,6,9,14,17,2,20,14,15,13,22,5,12,12,15,9,9,5,8,16,9,11
04.10.2022 09:00,5,20,12,19,26,12,5,15,12,11,9,30,9,8,13,14,2,    # ,14,15,13,25,4,13,14,15,8,6,10,8,15,9,13
04.10.2022 10:00,6,18,10,17,15,11,2,15,5,9,11,29,11,8,19,10,2,17,12,    # ,10,23,4,15,14,27,7,    # ,12,7,13,11,13
04.10.2022 11:00,6,11,11,18,18,9,2,17,5,8,8,22,14,3,16,10,2,16,16,12,13,30,3,15,13,19,3,    # ,2,9,12,11,20
04.10.2022 12:00,13,7,10,16,14,10,4,14,5,8,7,17,12,2,18,10,3,15,15,11,9,10,4,14,13,13,6,    # ,2,8,11,8,7
04.10.2022 13:00,8,6,9,16,11,6,7,9,8,7,4,15,13,2,4,12,6,14,15,11,11,3,7,11,7,15,8,2,2,8,14,8,12
04.10.2022 14:00,6,7,9,17,14,8,5,7,3,6,9,13,9,4,8,12,9,14,14,12,10,8,11,10,6,12,13,4,3,6,12,7,19
04.10.2022 15:00,6,8,7,15,8,9,3,7,2,6,9,10,12,6,7,12,9,13,14,12,9,9,12,9,5,7,12,12,3,5,11,7,12
04.10.2022 16:00,6,9,8,16,7,8,2,7,2,7,11,9,15,8,4,12,11,14,15,13,8,19,11,9,6,7,14,12,7,6,10,7,10
04.10.2022 17:00,8,11,8,15,15,9,2,8,12,9,17,9,20,13,7,13,18,13,15,14,10,28,13,10,7,11,15,19,13,8,11,8,2
04.10.2022 18:00,9,16,8,18,17,8,2,11,31,11,10,10,19,19,9,16,25,14,16,19,12,24,29,15,13,12,14,15,34,9,14,11,9
04.10.2022 19:00,11,36,19,25,20,21,5,17,26,46,16,15,19,30,8,16,32,20,17,26,12,28,33,19,13,21,22,21,29,9,14,14,25
04.10.2022 20:00,11,31,22,32,20,20,5,21,26,49,22,19,27,29,18,19,29,22,17,22,18,26,17,23,18,23,21,19,18,9,14,16,26
04.10.2022 21:00,9,38,23,31,18,16,3,22,23,42,21,21,40,17,18,16,24,24,19,28,20,29,13,18,18,26,15,17,27,5,19,17,25
04.10.2022 22:00,13,37,27,22,17,17,5,35,27,23,20,19,21,18,16,14,15,19,17,25,20,29,11,17,18,28,14,19,15,4,14,21,22
04.10.2022 23:00,9,36,32,24,16,18,5,26,32,19,22,17,20,17,21,13,12,18,13,18,17,25,10,17,15,23,13,15,21,4,13,21,21
04.10.2022 24:00,9,27,19,26,21,16,4,21,19,21,22,16,16,17,16,8,17,18,13,16,15,27,10,13,14,22,17,15,19,4,12,18,21
05.10.2022 01:00,7,22,16,22,13,10,2,16,8,17,15,15,14,12,11,8,23,15,11,13,14,19,10,14,14,18,17,9,16,5,11,17,15
05.10.2022 02:00,6,19,11,16,13,8,4,16,9,14,16,13,13,10,13,8,25,14,10,11,15,7,11,16,12,14,13,12,12,7,11,16,19
05.10.2022 03:00,5,17,9,14,12,9,2,15,12,12,17,12,12,14,11,7,19,10,7,9,13,13,10,9,8,15,9,8,19,6,12,15,26
05.10.2022 04:00,4,18,8,12,13,9,2,14,14,14,16,12,13,13,12,7,16,9,6,7,14,17,10,7,7,10,7,11,15,6,12,16,19
05.10.2022 05:00,4,19,7,12,10,8,3,15,17,12,16,15,17,9,12,8,17,10,8,6,12,22,11,8,8,14,11,13,13,6,11,15,20
05.10.2022 06:00,4,26,7,11,17,9,3,16,15,13,14,21,22,18,10,10,21,11,10,7,18,17,13,8,9,13,13,12,14,6,11,16,19
05.10.2022 07:00,4,35,6,12,20,11,2,20,15,13,17,24,27,21,14,14,18,13,10,10,16,29,11,11,11,12,12,13,13,8,12,18,20
05.10.2022 08:00,3,49,7,12,27,14,2,31,14,16,15,25,26,26,14,25,17,16,8,18,19,33,9,12,13,15,16,20,14,9,13,21,20
05.10.2022 09:00,3,48,6,14,17,15,2,23,6,13,8,25,33,24,29,24,9,18,3,10,19,29,6,14,15,16,14,12,3,9,12,20,27
05.10.2022 10:00,2,32,6,16,16,11,4,21,2,10,5,20,24,8,26,9,7,20,5,17,15,18,6,12,13,14,2,16,2,10,11,20,30
05.10.2022 11:00,3,19,7,15,18,10,5,21,2,8,7,19,14,7,23,15,6,20,6,18,14,16,6,15,12,13,2,15,2,14,7,14,20
05.10.2022 12:00,5,16,7,17,16,9,5,18,3,9,13,21,11,7,20,23,12,19,7,14,10,20,6,15,10,13,16,12,2,13,8,10,2
05.10.2022 13:00,    # ,    # ,8,16,17,9,3,20,3,8,8,21,14,10,14,22,14,19,9,16,9,8,8,18,11,11,15,4,6,13,9,9,5
05.10.2022 14:00,5,    # ,8,14,15,9,2,16,2,7,12,20,10,9,15,22,14,19,10,20,8,9,9,20,11,15,12,3,8,13,9,9,20
05.10.2022 15:00,6,    # ,9,12,18,10,2,11,2,16,13,18,20,3,13,21,11,19,11,21,8,9,11,23,10,24,15,7,7,14,9,10,19
05.10.2022 16:00,6,11,11,12,17,9,4,12,12,16,12,17,22,10,13,16,10,21,13,17,7,8,14,25,11,20,18,11,20,14,10,10,13
05.10.2022 17:00,7,14,9,11,21,7,2,13,25,20,14,19,20,20,15,14,8,28,15,22,8,14,16,24,14,25,19,16,24,16,10,12,11
05.10.2022 18:00,10,17,13,14,24,7,2,17,30,26,19,26,21,25,18,16,8,32,17,22,11,25,31,27,19,27,26,15,27,20,12,12,20
05.10.2022 19:00,12,33,16,15,21,14,2,26,32,24,21,26,23,35,14,25,13,45,29,36,13,29,38,33,21,23,30,18,29,28,15,17,33
05.10.2022 20:00,10,46,17,16,25,16,3,34,20,35,30,34,38,27,13,19,14,31,24,29,15,41,21,41,25,21,26,18,31,16,35,21,23
05.10.2022 21:00,12,35,14,20,23,18,4,28,21,43,20,50,51,24,21,12,15,72,21,38,17,34,22,28,26,22,15,22,19,14,13,23,23
05.10.2022 22:00,9,37,17,18,20,16,5,22,18,37,26,48,61,24,16,8,12,16,19,25,20,30,18,24,23,23,17,23,25,12,13,25,25
05.10.2022 23:00,10,24,17,19,15,16,6,18,21,45,27,33,46,22,20,7,14,13,17,20,20,27,18,23,22,20,13,20,22,10,11,20,31
05.10.2022 24:00,10,19,16,19,20,10,5,18,29,14,18,23,21,20,18,7,12,14,16,17,21,11,14,22,23,22,17,18,21,9,10,17,33
06.10.2022 01:00,11,18,16,17,20,12,2,19,31,8,24,18,15,20,17,7,14,12,15,18,20,6,12,19,22,18,11,18,26,9,10,15,38
06.10.2022 02:00,11,16,13,14,11,11,2,17,20,8,24,17,14,19,13,6,14,11,15,15,18,6,11,16,23,15,15,11,20,9,11,13,34
06.10.2022 03:00,12,19,12,13,6,11,2,21,21,9,15,66,12,18,12,7,14,10,12,12,17,13,11,14,21,21,20,14,37,10,10,13,30
06.10.2022 04:00,14,15,10,12,9,10,5,21,20,11,14,22,11,14,15,7,13,11,11,12,18,14,8,16,18,19,18,14,19,10,10,14,25
06.10.2022 05:00,14,13,10,13,14,11,5,17,18,11,21,16,10,16,10,8,11,13,13,11,15,12,9,15,14,17,15,11,23,10,10,14,24
06.10.2022 06:00,12,20,11,15,31,12,3,18,22,13,19,16,13,21,16,13,6,15,13,11,16,19,10,15,14,16,19,13,20,11,17,16,25
06.10.2022 07:00,12,23,12,19,25,14,2,19,13,13,20,20,15,37,17,16,4,19,10,33,17,19,10,13,13,16,20,13,39,11,14,10,18
06.10.2022 08:00,11,24,15,26,37,13,3,19,17,13,27,20,18,38,20,11,4,26,10,37,19,22,13,13,14,19,14,4,30,11,17,9,18
06.10.2022 09:00,10,15,14,24,22,7,9,4,9,19,20,20,20,37,24,11,4,24,13,21,19,26,14,12,15,22,6,7,39,12,15,10,19
06.10.2022 10:00,11,11,14,24,20,12,10,6,11,8,12,16,21,7,17,10,8,23,15,18,18,8,11,12,17,21,16,7,18,14,11,9,14
06.10.2022 11:00,14,9,16,23,21,14,9,6,2,9,6,15,14,2,25,8,12,26,15,20,18,2,10,14,17,17,5,6,4,16,13,7,11
06.10.2022 12:00,17,7,17,24,18,16,8,5,6,11,2,17,11,2,24,11,18,26,17,20,14,6,12,16,17,22,2,6,2,25,16,7,4
06.10.2022 13:00,24,7,16,22,20,16,8,6,8,12,4,19,14,2,16,13,24,28,15,24,13,2,13,18,17,16,2,2,2,13,17,8,6
06.10.2022 14:00,43,4,16,22,17,15,7,5,2,11,5,20,9,4,19,14,21,27,16,26,12,2,14,18,14,8,4,2,2,10,19,8,18
06.10.2022 15:00,75,2,15,24,19,17,8,4,2,11,8,18,9,8,18,17,21,26,18,27,13,2,16,17,13,5,8,9,6,9,20,8,16
06.10.2022 16:00,55,6,14,23,20,14,8,5,2,13,12,16,8,11,20,17,19,27,21,27,14,3,17,17,13,6,18,12,10,9,17,8,14
06.10.2022 17:00,57,12,17,24,19,19,13,5,13,16,17,17,8,16,18,21,20,24,20,29,14,17,18,20,16,8,13,14,12,10,19,10,9
06.10.2022 18:00,32,21,15,25,18,15,9,8,40,20,20,16,15,21,16,23,17,27,20,29,15,24,26,23,28,8,10,14,38,9,21,13,25
06.10.2022 19:00,24,37,16,25,20,19,11,16,40,24,29,19,11,28,13,27,22,29,24,30,16,36,35,33,25,17,21,14,38,10,21,17,35
06.10.2022 20:00,24,40,20,30,18,26,10,28,32,27,25,25,14,23,15,23,24,32,26,34,15,46,45,39,28,20,32,20,32,8,25,22,26
06.10.2022 21:00,29,42,23,29,21,20,13,20,34,21,29,27,18,22,17,23,27,26,22,32,16,47,32,35,29,20,25,14,26,6,27,29,22
06.10.2022 22:00,29,32,23,27,21,21,12,18,29,26,27,29,16,22,12,22,28,29,20,32,17,61,27,31,28,17,29,16,31,4,26,23,19
06.10.2022 23:00,27,25,21,27,15,17,10,24,25,19,22,31,25,18,12,21,29,26,17,29,19,41,21,29,27,18,25,14,28,3,21,22,21
06.10.2022 24:00,22,18,21,28,19,17,11,19,24,25,26,24,37,19,13,23,26,19,15,22,13,34,18,28,25,14,14,11,22,3,18,19,21
07.10.2022 01:00,15,21,23,26,22,10,9,18,20,15,29,24,13,14,12,22,20,15,15,18,12,32,16,23,26,15,13,7,18,3,16,17,14
07.10.2022 02:00,16,15,22,27,24,7,10,16,20,20,26,17,10,15,12,22,20,15,15,16,11,22,17,17,22,11,17,5,12,4,17,16,20
07.10.2022 03:00,13,13,23,23,13,13,7,15,17,12,25,13,7,17,14,21,17,16,17,15,12,26,17,14,14,16,11,8,19,4,20,16,27
07.10.2022 04:00,12,12,25,20,16,17,10,14,15,16,21,13,8,12,9,20,14,17,15,16,12,19,17,17,12,17,8,9,25,4,    # ,15,27
07.10.2022 05:00,17,14,22,21,20,20,9,14,14,20,21,14,11,12,8,19,7,19,13,17,13,22,10,16,11,14,11,9,19,6,19,14,24
07.10.2022 06:00,36,20,20,23,17,19,5,19,17,16,18,14,12,11,10,22,8,22,10,19,14,26,9,16,11,13,15,10,16,8,28,15,23
07.10.2022 07:00,25,30,22,28,24,16,7,17,22,17,15,17,10,14,12,23,15,33,15,37,16,34,11,15,9,16,18,13,23,5,32,15,24
07.10.2022 08:00,22,48,26,33,33,22,9,18,19,19,22,17,15,16,12,22,27,33,19,38,18,46,14,14,11,14,24,12,38,5,30,20,26
07.10.2022 09:00,21,26,26,33,33,14,17,14,7,18,18,16,15,7,16,25,32,38,23,35,28,53,17,15,13,11,23,12,3,8,24,14,24
07.10.2022 10:00,22,29,26,33,28,17,4,17,2,20,32,15,12,3,24,24,33,39,29,34,26,49,17,15,14,14,18,14,12,6,26,13,22
07.10.2022 11:00,20,21,40,45,31,30,5,18,2,25,24,18,13,19,24,23,31,37,24,32,31,44,14,21,21,10,12,9,12,8,    # ,13,20
07.10.2022 12:00,19,17,38,41,31,19,11,21,6,29,30,23,12,15,14,22,34,39,27,31,30,36,15,24,22,14,18,10,8,11,29,13,5
07.10.2022 13:00,18,16,27,29,31,9,16,19,14,32,25,25,11,10,25,24,33,40,27,28,34,22,20,30,25,16,22,3,8,14,33,13,16
07.10.2022 14:00,23,17,19,24,25,10,9,12,14,40,20,28,12,10,24,25,34,38,22,28,30,31,25,32,27,16,13,5,13,15,32,14,35
07.10.2022 15:00,19,17,18,25,27,16,12,11,7,44,28,29,13,7,23,26,25,32,23,27,28,18,27,32,30,18,23,11,15,16,33,15,18
07.10.2022 16:00,16,20,22,26,25,21,9,12,7,42,22,30,15,4,14,33,20,27,19,26,27,43,31,31,25,21,35,12,10,17,40,16,23
07.10.2022 17:00,16,20,22,22,26,19,10,15,16,42,33,31,25,14,18,29,22,28,21,30,27,43,32,35,29,19,28,26,17,17,43,20,23
07.10.2022 18:00,20,22,24,23,27,20,13,21,39,45,41,37,22,31,21,29,27,35,22,34,22,38,35,40,34,25,29,23,51,35,47,24,38
07.10.2022 19:00,21,30,24,30,23,24,6,30,35,42,51,43,30,30,24,32,31,40,22,36,25,52,37,49,36,34,27,29,35,14,46,31,26
07.10.2022 20:00,14,36,26,32,25,16,9,32,37,42,40,40,53,26,29,32,29,40,23,36,28,53,41,46,33,33,24,18,29,15,43,34,31
07.10.2022 21:00,12,38,27,35,22,10,9,29,25,39,30,36,45,20,43,31,26,34,21,32,32,57,29,43,34,30,25,21,42,17,46,44,30
07.10.2022 22:00,10,35,29,36,24,23,8,32,22,33,32,39,41,24,26,27,26,36,21,31,34,36,18,41,34,32,26,23,23,17,43,34,29
07.10.2022 23:00,14,38,31,43,29,24,9,32,23,35,35,45,35,27,34,20,26,33,21,28,29,37,19,41,37,29,22,17,29,15,26,31,30
07.10.2022 24:00,18,36,31,41,30,23,7,32,32,32,28,34,31,24,30,21,22,28,19,20,23,33,23,47,64,32,24,21,30,18,19,28,30
