Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Angerstraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.10.2022 01:00,22,20,18,27,21,10,2,22,17,15,20,23,13,16,16,6,15,19,18,24,11,16,10,11,11,16,13,10,16,7,10,21,29
01.10.2022 02:00,25,22,17,35,14,14,2,25,18,15,23,28,14,14,11,5,17,24,22,28,12,14,9,10,9,14,14,12,8,10,12,16,23
01.10.2022 03:00,17,21,16,29,19,16,2,24,17,14,16,28,14,12,16,5,16,29,23,30,16,20,10,10,9,14,13,12,19,11,13,15,8
01.10.2022 04:00,15,22,14,25,13,17,2,24,21,14,17,26,14,11,13,5,14,26,20,26,11,20,12,9,10,16,13,13,17,13,15,16,6
01.10.2022 05:00,12,19,12,15,12,10,2,25,21,15,15,30,19,12,15,4,16,19,15,21,12,20,11,8,9,19,15,12,15,16,17,18,11
01.10.2022 06:00,11,21,11,13,12,11,2,25,8,15,17,24,28,11,9,4,12,16,11,16,13,19,12,9,10,23,11,15,9,19,17,17,13
01.10.2022 07:00,12,27,10,13,14,12,2,24,8,16,13,20,45,12,19,4,9,15,9,13,13,22,14,9,12,34,12,13,8,19,17,13,13
01.10.2022 08:00,8,19,11,15,15,10,2,21,13,17,13,20,36,13,19,5,10,16,8,12,13,20,14,10,13,24,14,12,14,19,17,10,10
01.10.2022 09:00,5,15,11,14,16,11,3,18,9,11,11,19,26,11,13,6,7,13,8,11,14,18,15,11,16,20,14,10,5,25,11,9,11
01.10.2022 10:00,4,13,5,8,12,8,2,15,9,7,14,17,15,12,8,5,2,16,8,7,10,23,13,13,21,12,11,7,7,16,9,8,9
