Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.04.2022 01:00,3,11,20,30,15,13,2,16,11,5,4,11,7,8,12,7,4,8,11,10,7,2,7,12,5,5,8,8,7,4,5,13,19
01.04.2022 02:00,4,14,21,28,13,9,2,16,7,6,7,10,8,8,10,7,5,5,5,6,3,1,7,4,4,7,7,9,9,3,5,13,17
01.04.2022 03:00,3,14,16,21,20,14,5,16,8,5,13,9,7,8,9,5,7,3,4,5,2,1,9,1,4,9,8,8,10,2,5,15,15
01.04.2022 04:00,1,14,12,16,7,12,3,15,15,7,18,7,5,6,10,5,8,4,4,5,2,0,15,1,4,8,12,11,7,3,6,15,20
01.04.2022 05:00,1,11,5,7,7,3,2,14,11,7,14,6,4,6,12,7,11,2,3,4,1,0,20,1,4,6,14,8,8,3,6,14,18
01.04.2022 06:00,1,11,3,4,4,2,2,13,14,6,16,6,4,5,9,4,8,2,5,3,1,1,12,1,4,6,9,9,8,3,4,10,14
01.04.2022 07:00,1,9,2,3,2,2,2,11,16,6,13,4,3,5,5,2,7,1,6,3,1,1,20,14,4,6,6,4,7,3,3,7,19
01.04.2022 08:00,1,6,2,3,2,2,2,11,15,4,13,4,3,4,9,3,8,1,6,2,1,1,13,5,4,6,9,4,5,3,1,7,18
01.04.2022 09:00,1,6,2,3,2,2,3,12,16,4,14,3,2,4,11,2,3,1,6,2,1,1,16,3,4,6,9,5,8,5,1,8,16
01.04.2022 10:00,1,5,2,3,2,2,2,12,14,3,5,3,2,4,13,2,3,1,7,2,1,1,13,2,4,6,9,8,17,6,1,12,16
01.04.2022 11:00,1,4,2,3,2,2,2,12,17,3,6,3,2,3,13,2,3,1,6,2,2,2,10,1,4,5,10,13,8,6,1,12,23
01.04.2022 12:00,1,5,2,4,3,2,2,13,9,3,7,3,2,4,14,2,2,1,5,2,2,2,9,7,4,3,7,9,3,7,1,12,17
01.04.2022 13:00,1,8,2,5,7,2,2,13,11,3,12,3,2,4,11,2,2,1,5,3,4,2,14,1,5,2,8,15,9,7,1,12,19
01.04.2022 14:00,1,10,2,3,6,2,2,12,10,4,15,4,3,5,10,3,2,1,6,3,5,2,16,2,5,6,9,13,12,10,1,12,19
01.04.2022 15:00,1,11,2,3,4,2,3,11,12,4,15,6,4,7,2,4,2,1,8,3,8,2,17,5,5,8,12,14,14,10,1,12,14
01.04.2022 16:00,1,10,2,4,2,2,2,11,16,5,15,9,6,9,7,5,2,1,8,3,6,3,18,1,7,11,14,16,13,9,1,13,22
01.04.2022 17:00,1,8,4,6,2,2,2,13,16,5,11,11,7,11,15,5,3,1,11,3,6,5,13,7,9,13,11,15,15,10,2,13,21
01.04.2022 18:00,1,8,5,8,2,2,5,13,13,2,13,13,9,14,12,3,3,1,10,2,7,7,15,10,11,13,7,11,12,10,2,13,25
01.04.2022 19:00,2,10,7,11,4,2,2,13,18,2,13,15,10,14,13,2,5,1,11,3,7,10,14,5,10,15,7,11,21,11,2,14,20
01.04.2022 20:00,3,11,7,11,7,3,2,13,13,2,14,15,11,14,16,3,3,2,12,3,12,12,14,7,11,18,9,13,16,12,2,12,17
01.04.2022 21:00,4,12,6,10,9,6,2,13,18,2,20,15,12,14,20,4,3,3,13,6,16,12,19,31,15,14,13,11,13,13,2,13,15
01.04.2022 22:00,4,12,6,10,8,7,2,13,21,2,18,15,12,15,20,2,5,4,14,7,14,12,19,15,14,17,16,13,17,17,2,11,19
01.04.2022 23:00,4,13,8,12,10,8,2,14,23,7,19,15,13,15,20,3,9,4,14,5,14,13,22,5,14,17,14,12,26,20,3,10,12
01.04.2022 24:00,4,14,10,17,9,7,2,14,26,11,20,14,13,15,27,10,13,5,13,4,14,14,21,3,13,19,19,11,29,23,3,10,14
02.04.2022 01:00,5,15,13,22,13,8,2,15,29,13,18,14,13,19,22,17,17,5,13,5,11,18,23,4,12,39,20,14,27,24,4,10,15
02.04.2022 02:00,5,15,16,24,10,9,2,16,30,15,22,18,17,20,32,16,19,5,11,5,11,13,27,5,14,30,27,13,32,26,5,10,16
02.04.2022 03:00,6,16,16,24,13,9,2,16,20,16,29,19,19,21,21,10,13,8,10,6,4,13,30,5,18,39,30,12,35,29,8,10,19
02.04.2022 04:00,7,16,17,25,16,12,2,16,22,15,30,20,20,21,25,9,13,11,19,11,11,17,32,6,23,39,29,12,34,28,9,9,14
02.04.2022 05:00,6,16,18,24,23,16,5,17,22,16,34,18,20,23,19,13,14,11,18,10,10,16,29,6,25,42,27,6,36,32,12,7,13
02.04.2022 06:00,7,14,18,24,20,13,3,19,17,19,18,19,21,23,21,19,13,10,18,13,11,15,21,7,25,40,20,7,29,33,11,7,11
02.04.2022 07:00,8,13,18,23,24,20,5,16,13,21,19,19,21,23,13,21,14,13,20,16,13,17,16,6,26,30,17,8,24,28,12,8,11
02.04.2022 08:00,9,13,18,22,21,15,8,15,12,22,20,22,24,25,12,16,14,16,23,18,15,14,21,11,26,34,15,6,15,28,15,9,19
02.04.2022 09:00,12,13,18,23,14,16,8,16,7,21,20,21,24,23,11,24,12,18,24,18,16,12,15,13,27,31,11,8,14,27,15,10,14
02.04.2022 10:00,14,13,21,26,21,15,4,15,3,20,8,19,21,20,13,16,10,15,21,17,16,10,8,12,24,20,14,10,16,19,15,10,12
02.04.2022 11:00,16,13,22,27,25,18,6,16,8,21,15,18,21,20,11,22,9,14,20,15,14,8,7,15,23,21,13,10,19,14,16,10,14
02.04.2022 12:00,15,14,20,25,23,18,4,16,14,21,10,15,16,12,4,14,9,16,20,16,16,9,16,17,21,12,13,16,18,12,18,11,14
02.04.2022 13:00,14,15,19,23,20,16,2,16,12,18,14,12,13,13,7,14,9,15,21,17,17,10,10,21,16,11,11,17,18,10,17,13,15
02.04.2022 14:00,16,14,13,19,18,15,2,15,11,17,11,12,13,11,11,14,9,12,18,14,15,10,9,13,13,13,12,8,13,9,16,11,24
02.04.2022 15:00,14,12,11,15,12,10,2,14,8,15,10,9,11,11,12,12,10,11,16,12,13,11,10,13,14,11,14,2,11,10,13,11,25
02.04.2022 16:00,13,15,11,16,7,8,3,14,10,12,15,11,12,12,14,7,10,10,14,11,11,11,12,12,14,11,15,3,11,10,10,10,26
02.04.2022 17:00,11,16,10,14,6,7,6,14,14,11,12,13,13,12,11,10,8,9,14,10,10,11,16,11,14,9,13,8,23,9,11,10,17
02.04.2022 18:00,9,14,10,14,8,8,6,13,12,12,17,14,12,13,10,11,7,9,16,10,11,10,33,10,15,10,13,7,20,9,10,9,21
02.04.2022 19:00,11,12,12,16,10,6,6,13,13,11,12,14,13,13,11,9,11,9,17,9,11,10,13,10,17,13,16,9,31,8,11,10,20
02.04.2022 20:00,11,12,12,17,8,7,5,13,11,10,12,12,12,11,9,8,9,9,19,10,11,13,4,13,16,15,14,8,15,8,11,12,15
02.04.2022 21:00,12,11,13,18,12,9,3,14,9,10,17,15,12,11,7,11,9,10,16,10,11,14,3,15,18,10,20,9,10,9,9,11,14
02.04.2022 22:00,11,10,15,19,13,11,2,13,8,11,13,17,12,14,9,9,9,12,17,11,13,15,15,20,19,10,12,11,10,10,10,9,16
02.04.2022 23:00,12,9,17,21,14,11,3,13,8,12,12,15,13,12,7,14,10,13,19,12,14,13,21,25,17,9,14,10,11,10,9,9,12
02.04.2022 24:00,12,9,17,21,13,12,4,12,10,13,9,15,13,11,7,9,10,13,18,13,18,11,13,17,16,9,7,8,11,10,10,10,12
03.04.2022 01:00,11,9,15,18,19,13,5,10,17,13,7,12,11,10,7,12,10,13,17,13,15,9,6,7,15,7,7,6,10,10,11,8,17
03.04.2022 02:00,13,9,15,20,16,11,9,9,13,13,10,14,10,10,11,10,11,13,16,14,14,8,9,8,11,5,8,5,7,10,12,8,13
03.04.2022 03:00,15,9,14,20,14,10,5,8,10,11,10,12,10,9,7,7,13,13,19,16,23,8,12,9,10,6,9,4,9,9,11,8,10
03.04.2022 04:00,18,10,13,18,13,13,9,8,11,10,10,11,9,9,5,2,14,15,20,17,23,8,11,10,11,9,7,5,11,8,10,8,6
03.04.2022 05:00,19,9,11,19,12,11,7,8,8,12,10,11,9,9,9,6,16,16,19,16,18,9,10,11,12,9,9,8,10,7,10,8,10
03.04.2022 06:00,18,8,11,16,12,7,11,8,8,12,11,12,9,8,7,7,18,16,20,17,18,10,11,12,12,8,9,7,9,7,11,8,15
03.04.2022 07:00,18,9,10,14,12,10,2,8,19,12,6,10,8,9,8,12,17,17,21,18,18,10,11,19,13,7,6,6,6,6,11,9,11
03.04.2022 08:00,18,8,11,14,12,11,9,8,2,11,7,8,7,8,7,4,13,14,17,14,14,10,9,37,12,7,3,7,3,6,10,8,4
03.04.2022 09:00,18,6,9,12,8,10,7,8,2,9,3,6,6,7,2,7,11,12,17,15,14,9,4,24,12,6,2,5,2,5,9,7,4
03.04.2022 10:00,14,6,8,10,11,7,6,8,2,10,2,6,6,7,2,9,9,13,18,14,15,8,6,11,11,3,4,6,2,6,8,6,13
03.04.2022 11:00,14,7,8,9,10,4,7,7,2,10,4,6,5,6,3,9,8,10,15,11,13,7,6,11,11,2,11,6,2,6,9,5,4
03.04.2022 12:00,13,6,7,10,12,5,8,7,2,9,5,7,6,6,2,10,9,9,12,10,12,6,7,22,13,5,13,3,2,5,9,4,4
03.04.2022 13:00,12,7,6,15,13,6,8,7,4,8,6,9,5,6,2,4,10,9,13,10,11,6,2,21,14,9,13,2,2,5,9,4,8
03.04.2022 14:00,11,6,6,16,12,7,8,8,4,8,9,14,7,7,2,5,9,7,11,9,10,6,6,22,13,7,12,2,3,5,8,4,12
03.04.2022 15:00,9,6,6,19,5,9,7,7,2,7,9,11,7,7,5,9,8,7,11,9,10,7,10,13,13,6,11,2,7,5,8,6,11
03.04.2022 16:00,9,7,5,20,9,6,10,8,2,7,6,12,7,7,5,8,8,7,11,8,10,6,9,12,13,11,13,4,4,6,8,7,12
03.04.2022 17:00,9,6,6,18,9,2,7,8,3,8,8,12,7,6,6,5,8,6,13,9,12,6,12,16,10,9,10,6,3,6,8,9,12
03.04.2022 18:00,10,7,7,17,9,2,3,8,5,8,14,14,8,7,7,7,7,7,14,10,13,6,10,17,10,10,7,9,10,6,6,9,6
03.04.2022 19:00,9,11,8,16,7,4,6,8,8,7,10,13,8,8,8,9,8,6,13,9,12,6,17,28,10,9,8,12,9,6,6,12,19
03.04.2022 20:00,8,15,10,17,9,5,9,8,10,9,11,16,10,9,17,10,9,6,15,8,18,7,6,18,9,13,10,14,18,6,7,14,18
