Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.01.2020 01:00,25,380,375,449,498,523,2,716,784,312,1142,165,231,352,352,52,307,686,648,423,348,1219,105,102,274,493,684,318,16,94,385,398
01.01.2020 02:00,38,450,324,244,442,470,2,395,623,201,374,350,234,575,385,43,366,986,777,720,416,826,115,177,249,532,328,664,8,102,319,583
01.01.2020 03:00,46,275,211,247,222,148,2,231,295,133,330,164,170,198,164,50,610,769,612,820,475,369,148,198,354,363,136,486,8,198,140,293
01.01.2020 04:00,53,244,115,115,96,90,2,156,249,129,282,105,180,131,140,38,631,482,619,578,307,394,67,176,169,274,81,361,8,208,131,179
01.01.2020 05:00,47,132,100,117,98,69,2,136,249,83,218,60,122,208,72,33,370,270,321,389,147,369,35,114,104,210,37,304,9,157,126,134
01.01.2020 06:00,44,171,87,100,86,50,3,97,202,65,231,51,83,126,64,40,270,183,150,145,123,224,35,76,110,213,36,215,9,155,79,142
01.01.2020 07:00,43,216,117,90,68,49,2,94,156,66,197,48,78,90,42,46,109,88,83,92,113,196,32,77,100,173,33,177,10,138,77,74
01.01.2020 08:00,38,132,79,86,64,48,2,87,109,66,156,46,59,91,30,48,85,69,78,79,109,165,36,73,94,98,27,70,33,115,75,77
01.01.2020 09:00,37,112,80,90,64,59,3,83,112,71,203,50,59,122,36,46,75,63,74,73,118,155,34,63,86,96,41,103,20,112,57,67
01.01.2020 10:00,35,135,85,92,63,67,2,74,84,84,120,50,65,108,46,47,76,65,72,70,104,95,32,53,81,84,34,78,12,138,56,53
01.01.2020 11:00,29,102,76,81,74,70,4,71,94,65,106,45,74,94,51,51,66,64,72,72,94,106,23,55,71,59,35,64,10,103,49,47
01.01.2020 12:00,25,65,60,59,51,47,5,71,46,51,95,45,73,81,39,54,55,53,61,63,85,63,29,50,58,44,35,59,12,47,46,47
01.01.2020 13:00,22,38,39,44,40,24,7,75,34,47,74,45,66,75,32,52,44,50,52,56,80,34,27,47,59,32,32,66,14,34,46,32
01.01.2020 14:00,21,35,39,44,42,28,7,77,19,44,43,42,72,62,54,55,39,49,52,52,73,36,26,38,75,25,25,59,14,33,43,35
01.01.2020 15:00,18,29,38,43,32,26,7,81,25,48,46,36,66,61,60,56,36,46,49,49,66,52,31,31,63,26,43,41,21,38,40,31
