Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Aschaffenburg/Bussardweg,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bad Reichenhall/Kirchholzstraße,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burgbernheim/Grüne Au,Burghausen/Marktler Straße,Erlangen/Kraepelinstraße,Garmisch-Partenkirchen/Wasserwerk,Hof/LfU,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kempten (Allgäu)/Westendstraße,Kleinwallstadt/Hofstetter Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,Mehring/Sportplatz,München/Allach,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Neustadt a.d. Aisch/An der Weißen Marter,Neustadt a.d.Donau/Eining,Nürnberg/Bahnhof,Nürnberg/Muggenhof,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Oettingen/Goethestraße,Passau/Stelzhamerstraße,Regensburg/Rathaus,Saal a.d.Donau/Regensburger Straße,Schwabach/Angerstraße,Schwandorf/Wackersdorfer Straße,Schweinfurt/Obertor,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Weiden i.d.OPf./Nikolaistraße,Würzburg/Stadtring Süd
01.01.2022 01:00,5,7,8,17,24,28,12,6,14,8,9,5,18,6,23,4,22,19,14,29,12,8,15,27,14,8,11,22,17,31,25,6,14,26,13,10,21,5,17,28,16,8,7,22,5,8,8,9
01.01.2022 02:00,5,6,8,25,20,22,14,9,13,5,6,4,12,5,21,3,25,19,10,34,7,5,14,24,12,10,9,36,15,33,22,4,13,14,11,8,20,5,16,28,11,7,9,25,5,9,6,7
01.01.2022 03:00,5,5,16,17,14,16,14,11,11,5,7,4,11,5,18,3,14,13,6,33,7,5,14,23,12,14,9,33,22,28,24,4,13,14,9,7,20,6,14,26,6,7,9,21,4,11,5,8
01.01.2022 04:00,5,5,19,19,10,12,10,4,12,6,7,4,16,5,14,3,12,10,11,30,7,6,11,17,11,19,12,22,19,22,22,5,11,11,9,6,21,6,15,27,14,7,7,15,4,9,6,11
01.01.2022 05:00,4,6,10,17,14,13,8,3,12,7,6,4,6,6,15,3,11,9,10,28,8,4,10,18,7,21,12,27,19,32,24,5,9,9,8,6,21,5,15,21,10,6,10,22,4,9,6,10
01.01.2022 06:00,4,6,21,18,14,19,15,1,12,9,7,4,7,6,14,4,11,8,11,26,7,5,10,20,8,19,14,27,26,24,25,7,9,9,9,6,21,5,14,14,10,8,9,21,3,12,7,9
01.01.2022 07:00,4,13,28,30,24,23,23,1,11,12,6,4,9,12,17,3,11,10,12,26,9,6,9,19,8,22,14,37,30,33,24,8,9,22,10,7,22,6,15,14,13,9,12,24,4,13,17,12
01.01.2022 08:00,3,11,27,28,31,32,26,1,12,19,6,4,6,12,20,6,14,12,12,27,8,5,9,18,8,20,26,46,29,33,24,9,9,13,9,8,23,7,14,15,11,8,10,20,4,17,19,8
01.01.2022 09:00,3,8,33,31,30,36,26,2,10,23,6,4,15,15,17,3,18,14,11,28,9,7,13,22,8,23,21,34,21,21,21,7,12,14,9,8,23,10,14,16,10,8,7,18,4,15,10,8
01.01.2022 10:00,2,11,25,29,25,31,19,2,9,8,7,4,21,11,16,3,18,14,13,27,9,8,16,18,8,17,17,40,20,28,17,8,12,12,12,7,22,8,13,23,10,9,7,13,4,16,9,10
01.01.2022 11:00,3,10,19,20,19,20,14,5,10,7,7,5,14,10,15,3,16,12,20,25,10,6,19,16,7,14,12,42,18,20,14,9,10,24,9,7,22,7,16,20,12,11,6,14,4,14,8,13
01.01.2022 12:00,3,13,17,13,19,17,9,9,9,11,8,6,7,7,8,3,12,10,12,20,10,6,16,14,6,9,8,34,13,17,14,7,10,29,9,9,17,9,22,15,8,10,5,11,4,11,8,16
01.01.2022 13:00,3,17,16,7,19,12,10,5,8,8,9,6,6,8,8,4,14,9,10,21,9,6,14,16,6,7,16,41,9,15,14,5,10,28,11,9,15,6,11,16,9,10,5,16,4,6,7,14
01.01.2022 14:00,4,15,15,8,26,14,9,6,8,9,11,4,5,6,8,4,15,9,8,19,8,6,16,17,4,6,22,46,8,19,16,5,10,30,9,10,17,3,9,18,8,10,5,13,4,5,9,17
01.01.2022 15:00,4,13,16,10,22,16,8,12,9,13,17,3,5,5,18,5,18,10,9,24,9,6,17,18,4,7,22,39,8,21,16,4,10,20,10,13,17,2,20,20,6,12,5,13,4,5,8,21
01.01.2022 16:00,4,31,15,17,28,26,10,7,14,20,23,4,7,6,24,8,26,18,27,42,9,8,25,22,5,12,8,45,15,27,30,3,10,35,18,16,28,6,37,34,11,17,13,17,4,17,11,14
01.01.2022 17:00,3,63,21,30,36,33,18,3,15,18,29,5,33,11,30,7,58,30,29,45,15,9,29,32,7,36,12,71,24,29,41,5,10,33,26,46,33,19,40,63,16,36,16,23,4,25,15,18
01.01.2022 18:00,3,55,54,40,43,44,31,3,15,34,25,5,43,16,31,5,58,39,31,43,14,9,33,32,10,35,17,74,37,39,37,6,7,60,42,70,29,21,32,69,15,51,19,25,4,26,19,25
01.01.2022 19:00,3,44,46,48,54,46,29,1,11,42,20,9,42,30,28,5,57,48,27,43,17,10,33,30,18,36,26,66,44,42,33,6,6,53,64,62,29,21,31,64,11,40,24,33,6,25,34,30
01.01.2022 20:00,3,40,43,46,48,43,25,1,12,42,38,10,34,31,26,5,49,44,24,39,19,24,32,28,21,34,25,58,38,43,32,9,6,44,50,44,32,16,26,56,12,32,26,35,5,24,28,33
01.01.2022 21:00,3,28,37,43,39,43,25,2,12,38,37,13,29,30,24,5,40,37,17,35,19,30,29,27,22,35,34,50,42,42,30,10,8,39,43,46,25,13,22,42,10,27,20,25,3,20,40,29
01.01.2022 22:00,4,32,33,40,40,42,26,1,11,33,35,11,26,28,22,6,34,31,18,34,20,31,25,29,20,37,37,34,36,33,27,13,8,35,42,45,27,17,20,33,8,26,12,18,3,17,39,24
01.01.2022 23:00,5,36,31,38,42,41,30,0,12,31,29,15,19,24,22,8,32,28,11,34,17,29,26,26,17,30,37,42,27,33,25,14,9,32,39,36,24,12,19,32,8,23,22,29,3,15,32,21
01.01.2022 24:00,7,24,28,35,37,38,30,0,11,28,13,19,16,23,19,6,26,25,11,27,16,29,22,25,16,23,31,47,38,36,23,10,10,31,32,29,26,13,18,29,9,21,18,23,3,13,21,21
02.01.2022 01:00,3,23,26,33,34,35,32,0,12,26,19,16,15,25,16,6,24,24,13,29,13,26,21,23,15,19,27,48,37,37,21,13,11,32,26,24,24,10,18,25,12,20,15,12,4,12,15,19
02.01.2022 02:00,2,21,23,30,32,33,30,0,10,25,19,22,15,22,16,6,22,21,13,28,12,25,19,20,13,19,25,44,34,35,19,13,12,22,24,23,23,8,17,20,15,18,15,14,4,11,18,15
02.01.2022 03:00,2,18,20,28,31,32,30,0,9,24,12,24,13,22,15,5,20,16,11,27,11,20,20,19,12,16,26,38,32,32,20,12,10,19,22,20,23,12,14,19,15,16,16,10,3,11,15,16
02.01.2022 04:00,2,17,20,29,27,28,23,1,9,23,11,20,12,19,17,6,17,17,11,22,11,17,19,20,10,16,26,20,24,26,18,10,11,17,19,18,22,12,9,16,17,14,13,10,3,10,14,15
02.01.2022 05:00,3,17,16,29,25,27,22,3,9,23,14,21,13,19,16,7,16,17,13,23,10,14,18,19,9,19,24,24,20,23,19,11,12,16,20,20,21,14,9,18,17,14,12,10,3,12,23,12
02.01.2022 06:00,2,18,18,29,27,31,22,1,9,22,12,20,14,20,16,7,17,17,16,26,9,13,16,18,7,20,22,42,21,26,20,12,12,17,22,21,21,21,10,16,16,11,12,10,3,13,16,14
02.01.2022 07:00,2,20,20,33,32,37,25,0,8,22,12,17,13,20,20,7,17,17,15,28,10,12,15,19,7,21,24,45,26,29,24,13,12,20,23,24,29,22,12,21,15,13,12,13,4,12,12,15
02.01.2022 08:00,2,25,20,38,34,35,25,2,8,20,12,18,12,22,22,9,18,17,15,35,11,12,17,20,8,23,32,61,39,34,23,14,11,21,22,21,32,24,12,19,15,15,14,13,4,15,14,16
02.01.2022 09:00,2,24,22,36,35,37,28,3,8,23,11,19,14,21,23,21,18,20,15,34,12,12,16,22,8,26,28,64,35,31,23,15,9,20,21,22,33,24,11,19,14,18,12,12,5,15,15,17
02.01.2022 10:00,3,26,22,35,31,37,28,2,8,20,10,18,14,18,23,11,21,20,11,35,12,13,15,21,14,28,31,66,34,26,22,13,8,25,17,23,30,18,12,17,11,20,11,12,6,19,15,21
02.01.2022 11:00,1,29,22,33,30,34,24,7,8,20,9,18,11,18,22,9,22,21,11,37,12,17,17,20,13,16,26,69,29,20,19,10,7,17,16,20,27,16,13,16,11,15,10,14,6,20,12,25
02.01.2022 12:00,2,30,24,30,31,29,21,13,9,19,9,15,13,20,12,8,23,20,14,38,12,19,24,20,9,13,17,76,21,22,18,12,10,17,17,21,22,16,16,17,9,17,12,17,7,24,13,28
02.01.2022 13:00,2,37,30,19,32,24,12,8,9,18,10,17,17,20,8,9,23,15,14,16,15,15,27,20,13,10,12,71,20,31,17,18,11,20,20,27,23,16,16,18,12,20,12,18,7,21,15,36
02.01.2022 14:00,2,34,23,10,16,13,7,10,9,23,13,9,20,25,11,7,26,17,17,4,16,14,23,25,13,8,13,62,15,26,17,16,17,23,23,30,22,19,17,21,17,23,14,21,9,13,16,29
02.01.2022 15:00,2,24,16,9,15,12,7,12,15,25,15,9,23,26,17,8,30,20,23,5,13,17,32,27,17,5,7,44,13,27,18,15,20,25,25,30,32,19,19,24,20,23,17,22,9,23,20,20
02.01.2022 16:00,2,19,14,11,17,14,8,16,12,27,20,9,23,26,22,9,32,23,25,8,11,22,39,31,14,4,6,42,14,28,21,24,24,29,29,35,40,16,22,27,23,15,22,31,10,38,24,19
02.01.2022 17:00,2,41,13,11,18,14,14,17,15,31,25,11,26,28,30,10,48,43,25,12,10,24,43,33,19,5,7,47,13,27,27,15,24,29,32,27,49,18,20,27,30,15,25,35,11,36,28,21
02.01.2022 18:00,2,35,14,8,17,12,10,20,16,17,26,10,29,27,35,10,45,38,27,9,8,14,44,39,18,10,10,72,20,35,28,11,25,45,40,41,42,22,20,29,29,19,29,39,13,33,32,19
02.01.2022 19:00,2,16,8,11,24,21,8,14,17,10,19,12,29,21,35,9,40,33,21,28,7,8,44,37,17,7,13,51,22,41,34,10,23,48,39,30,40,23,20,30,28,24,30,42,13,21,32,18
02.01.2022 20:00,3,20,7,12,22,17,8,12,17,14,17,11,32,8,31,7,22,23,12,17,7,8,21,39,16,5,7,30,15,29,36,10,19,32,16,17,34,24,19,28,19,12,29,29,12,31,28,22
02.01.2022 21:00,2,18,6,12,25,13,8,11,13,9,16,6,32,9,29,7,28,17,18,6,7,9,19,42,16,7,6,35,12,28,37,8,16,20,18,12,37,22,17,32,13,18,32,22,11,21,11,16
02.01.2022 22:00,3,8,4,9,14,13,8,11,13,7,11,4,29,6,28,6,33,20,19,5,6,7,27,37,16,5,6,35,14,24,31,4,14,16,13,9,33,23,15,32,18,14,25,21,10,20,9,9
02.01.2022 23:00,3,4,4,9,13,13,6,8,12,13,10,4,27,5,24,4,35,20,17,6,5,5,41,26,18,6,5,20,9,17,30,4,11,18,10,6,33,22,15,29,19,14,16,14,6,16,8,8
02.01.2022 24:00,3,4,4,6,9,10,5,8,11,4,8,3,20,4,21,4,25,23,15,5,3,5,41,20,18,5,5,14,9,11,27,4,10,19,8,5,28,15,14,27,16,7,5,10,4,11,8,7
03.01.2022 01:00,4,4,4,4,4,6,3,15,13,4,3,3,7,4,20,3,22,17,15,4,3,5,32,15,7,5,5,11,10,10,21,3,11,10,6,4,27,8,13,30,16,6,5,10,3,11,11,4
03.01.2022 02:00,3,3,6,3,3,5,3,11,14,3,3,2,5,3,26,3,21,12,17,4,2,3,22,7,7,4,5,8,10,8,17,2,17,8,5,6,26,3,13,28,18,7,10,4,4,5,10,4
03.01.2022 03:00,2,2,8,3,3,4,4,9,14,2,2,2,4,2,25,2,24,11,18,3,2,2,9,5,6,3,4,8,8,7,13,2,13,7,4,4,24,2,12,17,16,6,7,4,5,4,7,3
03.01.2022 04:00,2,2,9,3,3,4,3,6,16,2,2,2,3,2,20,1,14,11,18,3,2,3,6,4,5,2,2,5,6,5,12,2,11,3,2,2,22,3,12,19,14,4,7,3,5,3,4,3
03.01.2022 05:00,2,3,11,3,4,4,3,13,15,4,2,2,3,2,9,1,7,9,9,3,3,3,6,4,3,2,2,7,8,7,5,2,11,16,4,3,21,2,12,14,10,3,3,7,2,2,4,6
03.01.2022 06:00,2,6,8,4,8,8,4,13,16,4,6,2,3,3,3,2,10,6,3,4,5,3,12,4,4,4,3,14,9,9,9,2,3,41,7,6,24,3,16,9,5,3,4,14,1,2,6,9
03.01.2022 07:00,2,11,7,6,15,12,6,15,17,5,9,3,4,4,2,3,20,6,4,3,7,5,18,6,5,4,4,30,11,22,18,3,2,30,9,11,27,7,16,20,6,8,4,13,2,2,7,12
03.01.2022 08:00,2,21,38,7,19,10,6,16,10,3,12,4,5,5,3,4,48,27,12,4,11,9,25,8,7,5,6,40,16,22,26,4,3,19,24,18,30,6,18,38,6,14,4,13,2,3,10,17
03.01.2022 09:00,2,12,21,7,18,12,7,15,10,8,17,4,8,8,3,4,61,30,15,4,9,8,49,7,8,4,7,48,17,26,27,5,5,35,14,16,30,3,31,47,5,21,8,31,2,4,10,18
03.01.2022 10:00,2,13,17,6,18,10,6,19,9,8,17,4,8,5,5,6,60,49,15,5,15,7,69,10,5,4,6,45,16,29,24,9,9,46,27,34,29,7,56,39,31,29,9,51,2,3,13,21
03.01.2022 11:00,2,15,11,6,17,12,6,21,11,7,22,4,9,9,18,5,71,33,22,6,11,7,53,20,6,5,5,42,14,27,27,6,9,43,35,40,30,4,57,46,28,14,14,29,3,3,14,24
03.01.2022 12:00,2,16,9,7,15,13,5,18,10,16,14,4,7,12,15,5,61,26,11,6,14,11,22,12,6,4,5,33,12,26,24,6,4,21,26,20,33,5,43,41,15,10,18,25,3,3,16,31
03.01.2022 13:00,2,19,9,7,21,12,6,18,9,11,16,5,6,9,4,4,44,16,10,7,13,10,15,12,5,7,4,42,12,30,19,5,4,19,18,16,36,5,34,37,7,10,13,15,4,3,16,28
03.01.2022 14:00,3,20,9,7,18,12,6,17,6,18,15,6,6,7,12,5,31,17,14,6,12,11,16,13,5,6,5,37,12,27,20,6,7,16,25,18,40,3,44,34,7,11,8,19,4,3,15,27
03.01.2022 15:00,3,27,7,8,22,13,7,24,3,12,18,6,8,5,2,6,20,10,16,10,10,12,17,29,7,7,5,43,13,30,19,6,11,23,20,18,43,4,61,45,9,14,7,24,3,4,18,18
03.01.2022 16:00,2,35,7,8,18,13,7,21,7,7,20,6,6,6,2,6,24,11,24,14,15,13,20,42,8,5,5,49,16,31,19,7,8,18,26,17,41,4,62,54,16,16,8,17,4,4,18,27
03.01.2022 17:00,2,44,12,9,19,15,7,17,8,12,18,6,8,8,10,5,37,17,14,14,12,19,23,52,5,7,6,46,18,35,22,7,8,25,32,41,45,6,59,64,13,39,12,21,5,5,18,39
03.01.2022 18:00,3,35,27,9,22,14,8,20,17,13,22,6,10,15,19,7,37,18,19,15,13,46,26,69,4,7,9,50,18,32,24,8,9,38,40,56,41,14,54,51,11,24,18,20,7,24,21,30
03.01.2022 19:00,3,26,12,8,20,14,7,18,19,14,34,7,14,21,28,7,17,11,24,31,15,20,20,57,4,8,10,62,22,36,28,7,10,31,28,23,40,13,45,79,14,13,37,34,5,45,28,22
03.01.2022 20:00,3,22,11,8,20,13,9,18,40,7,23,6,11,13,26,6,14,7,19,22,14,12,20,56,4,12,12,66,23,31,21,7,8,26,25,18,42,10,41,66,17,12,43,23,5,43,19,20
03.01.2022 21:00,3,15,9,9,14,9,8,13,29,9,14,5,15,13,26,5,11,7,15,9,12,7,18,48,4,7,11,54,21,26,20,8,6,18,22,14,38,6,34,34,12,10,24,20,5,27,21,15
03.01.2022 22:00,3,17,11,9,12,9,10,17,38,12,14,6,8,13,24,5,13,7,21,11,8,9,17,33,6,7,10,42,21,23,27,6,6,17,21,17,40,16,31,42,14,9,16,17,5,25,12,9
03.01.2022 23:00,2,11,16,8,14,10,10,14,41,6,13,5,10,7,24,5,11,7,12,9,6,5,17,18,5,5,10,45,20,28,26,6,7,14,19,15,39,15,29,30,8,8,14,13,5,18,15,13
03.01.2022 24:00,3,7,13,10,10,9,7,15,39,9,9,5,16,9,17,4,9,6,9,9,5,4,14,15,5,15,12,51,21,19,22,4,7,13,21,10,35,15,27,39,7,7,18,17,5,9,15,10
04.01.2022 01:00,2,8,9,8,9,11,11,15,8,9,9,4,13,11,18,4,11,6,15,10,4,5,10,11,8,13,11,54,15,19,14,3,5,14,15,10,33,12,26,41,10,5,10,15,5,10,16,8
04.01.2022 02:00,2,8,6,6,5,8,8,19,9,9,6,3,12,11,15,4,10,7,13,13,5,6,8,10,7,4,4,13,9,5,12,3,5,19,9,9,31,10,25,35,10,7,9,14,5,9,14,11
04.01.2022 03:00,2,6,6,7,5,5,7,15,8,8,9,3,13,7,17,4,10,7,9,16,5,6,7,9,9,3,4,9,9,6,13,3,7,15,8,10,30,6,25,23,6,7,7,12,6,9,11,11
04.01.2022 04:00,2,5,12,10,6,8,8,7,8,11,12,3,17,9,17,4,49,6,6,14,7,5,6,7,8,3,4,11,7,6,14,3,5,20,10,7,27,6,25,22,7,6,6,10,5,7,11,16
04.01.2022 05:00,2,5,10,8,12,27,11,13,9,13,11,3,30,11,14,5,61,5,6,22,4,7,7,8,10,4,5,17,8,9,24,3,4,9,11,9,31,14,21,23,9,5,7,13,4,11,10,8
04.01.2022 06:00,2,8,12,8,13,13,8,17,9,10,7,3,30,19,16,6,68,13,9,21,7,12,10,10,13,6,8,50,15,10,28,4,4,14,15,14,30,10,28,29,5,7,7,18,4,20,12,10
04.01.2022 07:00,2,16,11,5,10,7,5,16,11,10,15,3,29,16,21,6,69,12,17,25,9,10,12,23,15,31,15,52,27,22,21,3,7,21,16,26,34,8,25,39,8,10,9,20,4,28,13,13
04.01.2022 08:00,4,18,17,5,12,8,5,17,9,13,21,3,39,19,20,5,26,19,17,7,10,9,12,23,16,27,18,62,34,34,26,5,6,23,18,36,38,12,52,52,10,10,10,21,3,24,15,21
04.01.2022 09:00,2,20,20,6,10,8,5,18,10,15,17,3,33,18,31,4,26,18,14,10,14,8,13,29,13,18,23,85,41,43,14,7,8,21,17,30,39,13,55,59,10,11,10,25,3,35,14,22
04.01.2022 10:00,2,26,14,6,12,9,5,16,10,17,21,4,21,19,35,5,19,12,22,11,14,11,16,16,12,7,20,67,21,30,20,7,7,20,18,35,40,9,50,55,9,13,14,27,4,26,16,19
04.01.2022 11:00,2,27,11,4,11,7,5,16,12,21,23,4,24,22,36,6,29,10,23,12,18,12,21,29,11,11,15,75,29,27,15,8,7,23,20,48,40,6,42,52,13,14,14,33,4,18,18,20
04.01.2022 12:00,2,19,8,5,13,9,5,14,10,23,25,6,22,23,24,6,15,8,25,8,21,11,21,41,15,8,15,72,24,36,22,7,7,35,21,35,35,8,37,50,16,12,13,39,5,23,18,25
04.01.2022 13:00,2,14,10,5,13,9,4,14,7,23,28,7,25,23,14,9,15,7,15,7,15,13,31,44,13,4,8,44,13,28,21,6,6,30,20,23,31,8,55,48,11,11,14,26,6,32,23,24
04.01.2022 14:00,2,13,14,5,12,9,5,14,9,14,23,5,30,14,8,10,20,7,14,7,14,15,23,32,12,4,4,33,10,23,17,6,7,16,22,16,35,4,65,42,8,8,14,21,6,28,28,26
04.01.2022 15:00,2,15,19,5,15,14,6,13,9,13,19,6,29,6,11,10,15,9,11,9,15,18,15,23,12,6,4,32,11,20,14,6,6,17,20,14,36,3,59,21,9,9,10,26,5,30,21,24
04.01.2022 16:00,4,20,26,6,14,12,6,12,11,12,21,6,26,5,19,7,13,7,10,8,23,22,15,19,13,8,5,41,13,23,15,6,7,17,12,17,33,4,61,25,7,10,8,20,4,20,10,33
04.01.2022 17:00,6,19,22,4,14,11,5,15,13,18,22,6,38,5,36,10,12,7,13,7,17,23,15,16,26,7,6,44,11,25,14,6,7,19,17,31,36,6,60,25,8,15,10,32,4,33,10,40
