Zeitpunkt,Andechs/Rothenfeld,Ansbach/Residenzstraße,Augsburg/Bourges-Platz,Augsburg/Karlstraße,Augsburg/Königsplatz,Augsburg/LfU,Bad Hindelang/Oberjoch,Bamberg/Löwenbrücke,Bayreuth/Hohenzollernring,Burghausen/Marktler Straße,Fürth/Theresienstraße,Ingolstadt/Münchener Straße,Ingolstadt/Rechbergstraße,Kelheim/Regensburger Straße,Kulmbach/Konrad-Adenauer-Straße,Landshut/Podewilsstraße,Lindau (Bodensee)/Friedrichshafener Str.,München/Johanneskirchen,München/Landshuter Allee,München/Lothstraße,München/Stachus,Neu-Ulm/Gabelsbergerstraße,Nürnberg/Von-der-Tann-Straße,Oberaudorf/Inntal-Autobahn,Passau/Stelzhamerstraße,Regensburg/Rathaus,Schwabach/Angerstraße,Schweinfurt/Obertor,Sulzbach-Rosenberg/Lohe,Tiefenbach/Altenschneeberg,Trostberg/Schwimmbadstraße,Würzburg/Kopfklinik,Würzburg/Stadtring Süd
01.03.2022 01:00,12,25,18,30,17,10,4,13,16,12,23,17,19,19,13,14,21,15,20,16,17,18,13,17,17,18,37,8,26,10,13,21,14
01.03.2022 02:00,13,25,17,29,16,10,5,15,16,12,27,17,22,18,18,9,22,16,18,15,17,19,15,9,16,20,27,15,22,10,13,20,21
01.03.2022 03:00,12,23,16,26,14,12,6,15,15,12,16,16,20,17,19,12,18,17,17,15,16,19,20,9,16,17,22,14,18,10,11,20,17
01.03.2022 04:00,12,23,16,25,18,12,6,16,14,13,17,14,18,23,15,11,19,19,17,15,17,19,18,9,15,20,18,11,23,10,10,18,22
01.03.2022 05:00,11,21,15,24,17,14,7,17,21,13,16,11,14,19,17,10,19,26,17,14,17,20,22,8,15,18,9,17,25,9,9,17,23
01.03.2022 06:00,11,23,14,26,15,15,6,16,24,15,17,10,13,17,17,11,17,44,17,14,16,20,19,8,18,20,22,16,22,10,9,16,32
01.03.2022 07:00,10,25,13,27,13,10,6,19,24,15,21,11,14,14,22,14,17,33,16,12,16,18,29,10,19,16,28,22,25,8,9,18,56
01.03.2022 08:00,11,29,13,31,12,14,2,27,24,16,22,12,14,16,20,21,22,21,15,12,15,19,33,10,26,23,28,13,29,11,11,17,42
01.03.2022 09:00,11,25,12,28,22,11,2,27,27,15,20,12,15,13,4,22,19,19,16,13,15,19,34,12,22,26,23,27,5,12,12,17,47
01.03.2022 10:00,9,19,12,29,26,13,4,18,34,13,7,11,14,14,10,14,18,19,18,12,16,17,29,11,15,10,21,16,2,10,9,14,17
01.03.2022 11:00,10,16,13,37,20,17,11,13,7,11,16,14,14,12,22,9,19,18,16,11,15,16,27,11,11,5,13,11,10,10,9,13,11
01.03.2022 12:00,9,15,13,32,18,17,7,13,13,11,14,15,15,10,11,10,19,19,16,12,17,15,23,9,10,6,2,15,22,10,9,13,7
01.03.2022 13:00,9,13,13,32,18,17,2,12,14,12,13,16,14,10,9,10,21,17,15,11,16,15,16,7,11,7,2,2,8,11,9,13,4
01.03.2022 14:00,12,12,12,33,19,16,2,11,6,11,19,18,15,9,8,8,22,15,13,11,13,14,21,6,12,7,4,2,11,10,9,13,15
01.03.2022 15:00,11,10,12,33,20,10,5,11,2,12,14,17,13,10,5,9,23,15,14,11,13,14,15,7,15,10,10,5,13,9,6,13,20
01.03.2022 16:00,9,11,10,30,15,8,4,12,2,13,14,16,13,10,11,10,17,15,15,11,15,15,13,18,16,19,13,13,14,9,7,14,21
01.03.2022 17:00,10,11,11,26,11,9,2,11,11,13,21,15,13,10,13,7,17,18,17,14,19,15,29,35,18,15,13,15,19,10,9,14,15
01.03.2022 18:00,9,15,12,28,12,10,2,12,23,15,14,15,14,21,17,8,20,17,21,17,23,15,24,29,25,14,15,28,42,11,12,15,19
01.03.2022 19:00,10,28,17,40,20,10,2,18,24,20,15,22,16,32,22,10,23,16,20,16,23,16,23,28,35,33,27,40,33,14,24,19,34
01.03.2022 20:00,10,45,25,44,23,24,2,33,31,28,34,31,26,35,25,14,37,17,22,16,24,23,35,31,30,49,19,29,37,15,22,30,32
01.03.2022 21:00,10,36,25,42,23,21,6,34,42,17,40,40,32,30,26,20,32,21,23,17,24,29,34,21,33,48,31,14,27,15,19,29,36
